,Unnamed: 0,cluster_id,country,svy_yr_ed,nmothers,lat,lon,pct_no_education,pct_primary_education,pct_secondary_education,pct_higher_education,imr,yrgroup_imr,id
103,91,AM2015_185,Armenia,2015,15,40.5227793862,44.74649253770001,0.0,0.0,0.33333333333333304,0.666666666666667,0.0,2011-2015,91
104,52,AM2015_146,Armenia,2015,14,40.5412272764,44.96612953899999,0.0,0.0,0.214285714285714,0.7857142857142858,0.0,2011-2015,52
105,252,AM2015_48,Armenia,2015,13,40.19555389,44.5209845479,0.0,0.0,0.153846153846154,0.8461538461538459,0.0,2011-2015,252
106,225,AM2015_305,Armenia,2015,13,41.1841172091,44.8997585021,0.0,0.0769230769230769,0.8461538461538459,0.0769230769230769,0.14285714285714302,2011-2015,225
107,129,AM2015_219,Armenia,2015,10,40.808935064,43.8191926147,0.0,0.0,0.3,0.7,0.0,2011-2015,129
108,279,AM2015_74,Armenia,2015,10,39.9548651123,44.5568115066,0.0,0.0,0.4,0.6,0.0,2011-2015,279
109,10,AM2015_108,Armenia,2015,26,40.041502481100004,44.08497952020001,0.0,0.576923076923077,0.34615384615384603,0.0769230769230769,0.0,2011-2015,10
110,238,AM2015_35,Armenia,2015,19,40.1982357364,44.566496596,0.0,0.0,0.263157894736842,0.736842105263158,0.0,2011-2015,238
111,7,AM2015_105,Armenia,2015,14,40.1359854483,44.1317766964,0.0,0.0714285714285714,0.3571428571428571,0.5714285714285711,0.0,2011-2015,7
112,40,AM2015_135,Armenia,2015,10,40.709647208,45.111439303199994,0.0,0.1,0.7,0.2,0.0,2011-2015,40
113,272,AM2015_68,Armenia,2015,14,40.3230029707,43.6362076591,0.0,0.0714285714285714,0.857142857142857,0.0714285714285714,0.0,2011-2015,272
114,149,AM2015_237,Armenia,2015,15,41.0140898002,43.9231681988,0.0666666666666667,0.0,0.6,0.33333333333333304,0.0,2011-2015,149
115,179,AM2015_264,Armenia,2015,17,39.5165764364,46.039966074700004,0.0,0.0,0.3529411764705879,0.647058823529412,0.0,2011-2015,179
116,106,AM2015_199,Armenia,2015,9,40.2745978835,44.6219867624,0.0,0.0,0.555555555555556,0.444444444444444,0.0,2011-2015,106
117,140,AM2015_229,Armenia,2015,14,40.7091258152,43.8440390541,0.0,0.42857142857142894,0.5,0.0714285714285714,0.0,2011-2015,140
118,260,AM2015_55,Armenia,2015,9,40.3076822049,44.365328384499996,0.0,0.0,0.555555555555556,0.444444444444444,0.0,2011-2015,260
119,233,AM2015_312,Armenia,2015,13,40.8407826219,45.35453969090001,0.0,0.153846153846154,0.4615384615384621,0.384615384615385,0.0,2011-2015,233
120,90,AM2015_183,Armenia,2015,7,41.0692994818,44.1877185956,0.0,0.42857142857142894,0.14285714285714302,0.42857142857142894,0.0,2011-2015,90
121,86,AM2015_179,Armenia,2015,1,41.061279492,44.170729278100005,0.0,0.0,1.0,0.0,0.0,2011-2015,86
122,8,AM2015_106,Armenia,2015,14,40.1406441642,44.123214725,0.0,0.0714285714285714,0.42857142857142894,0.5,0.0,2011-2015,8
123,281,AM2015_76,Armenia,2015,21,39.9601373562,44.538409483,0.0,0.0,0.666666666666667,0.33333333333333304,0.0,2011-2015,281
124,301,AM2015_94,Armenia,2015,16,40.0646862639,44.4315946063,0.0,0.0625,0.5,0.4375,0.0,2011-2015,301
125,89,AM2015_181,Armenia,2015,7,41.038481060900004,44.247713150299994,0.0,0.0,0.857142857142857,0.14285714285714302,0.0,2011-2015,89
126,63,AM2015_157,Armenia,2015,6,40.803469389499995,44.4955344196,0.0,0.0,0.666666666666667,0.33333333333333304,0.0,2011-2015,63
127,206,AM2015_289,Armenia,2015,12,39.7683651531,45.5239105932,0.0,0.0,0.666666666666667,0.33333333333333304,0.25,2011-2015,206
128,103,AM2015_196,Armenia,2015,19,40.4890453357,44.7633966363,0.0,0.0526315789473684,0.315789473684211,0.631578947368421,0.0,2011-2015,103
129,284,AM2015_79,Armenia,2015,11,39.9918997956,44.4816124175,0.0,0.0,0.6363636363636359,0.36363636363636404,0.0,2011-2015,284
